song_title,pipe_delimited_artist_list,love_song_category,top_10_debut_date_as_decimal,total_weeks_in_top_10
"Mashed Potato Time","Dee Dee Sharp",,1962.27,9
"Lover Please","Clyde McPhatter",Heartache,1962.28,4
"Stranger On The Shore","Mr. Acker Bilk",,1962.3,11
"Shout - Part I","Joey Dee & the Starliters",,1962.3,4
"Soldier Boy","The Shirelles",Serenade,1962.3,8
"Twist, Twist Senora","Gary U.S. Bonds",,1962.32,3
"P.T. 109","Jimmy Dean",,1962.34,3
"Shout! Shout! (Knock Yourself Out)","Ernie Maresca",,1962.36,3
"She Cried","Jay & The Americans",Heartache,1962.36,3
"Old Rivers","Walter Brennan",,1962.36,4
"Everybody Loves Me But You","Brenda Lee",Heartache,1962.38,3
"Funny Way Of Laughin'","Burl Ives",,1962.38,1
"Lovers Who Wander","Dion",It's Complicated,1962.4,4
"I Can't Stop Loving You","Ray Charles",Heartache,1962.4,11
"The One Who Really Loves You","Mary Wells",Serenade,1962.42,3
"(The Man Who Shot) Liberty Valance","Gene Pitney",,1962.42,5
"Palisades Park","Freddy Cannon",,1962.44,7
"It Keeps Right On A-Hurtin'","Johnny Tillotson",Heartache,1962.44,6
"Second Hand Love","Connie Francis",Heartache,1962.44,3
"Playboy","The Marvelettes",It's Complicated,1962.44,5
"The Stripper","David Rose and His Orchestra",,1962.46,9
"That's Old Fashioned (That's The Way Love Should Be)","The Everly Brothers",Serenade,1962.48,1
"Cindy's Birthday","Johnny Crawford",Serenade,1962.48,2
"Roses Are Red (My Love)","Bobby Vinton",Serenade,1962.49,10
"Al Di La'","Emilio Pericoli",Serenade,1962.49,3
"Johnny Get Angry","Joanie Sommers",Pursuit,1962.51,2
"Snap Your Fingers","Joe Henderson",Pursuit,1962.51,1
"Wolverton Mountain","Claude King",Pursuit,1962.51,4
"Gravy (For My Mashed Potatoes)","Dee Dee Sharp",,1962.53,3
"The Wah Watusi","The Orlons",,1962.53,6
"Sealed With A Kiss","Brian Hyland",Heartache,1962.53,6
"Speedy Gonzales","Pat Boone",,1962.55,5
"Breaking Up Is Hard To Do","Neil Sedaka",Heartache,1962.57,10
